spot_id	x	y	clusternum
evenBo37.oddBo69	13	27	1727
evenBo27.oddBo67	23	29	1591
evenBo12.oddBo55	38	41	920
evenBo29.oddBo3	21	93	360
evenBo45.oddBo34	5	62	846
evenBo29.oddBo38	21	58	933
evenBo44.oddBo20	6	76	3718
evenBo29.oddBo55	21	41	1226
evenBo25.oddBo56	25	40	2229
evenBo45.oddBo28	5	68	1008
evenBo42.oddBo44	8	52	918
evenBo17.oddBo55	33	41	1300
evenBo48.oddBo60	2	36	605
evenBo13.oddBo55	37	41	610
evenBo6.oddBo38	44	58	468
evenBo16.oddBo28	34	68	805
evenBo42.oddBo62	8	34	1334
evenBo21.oddBo47	29	49	842
evenBo22.oddBo22	28	74	530
evenBo36.oddBo30	14	66	776
evenBo31.oddBo20	19	76	518
evenBo28.oddBo69	22	27	1342
evenBo16.oddBo55	34	41	1500
evenBo48.oddBo28	2	68	1245
evenBo24.oddBo63	26	33	1760
evenBo43.oddBo19	7	77	759
evenBo42.oddBo23	8	73	1339
evenBo14.oddBo28	36	68	946
evenBo10.oddBo44	40	52	360
evenBo30.oddBo62	20	34	1555
evenBo8.oddBo52	42	44	596
evenBo45.oddBo26	5	70	821
evenBo40.oddBo64	10	32	1584
evenBo36.oddBo63	14	33	2180
evenBo29.oddBo37	21	59	831
evenBo48.oddBo32	2	64	486
evenBo8.oddBo54	42	42	549
evenBo24.oddBo49	26	47	1044
evenBo31.oddBo63	19	33	2941
evenBo11.oddBo20	39	76	271
evenBo18.oddBo56	32	40	1731
evenBo48.oddBo20	2	76	1100
evenBo14.oddBo37	36	59	1232
evenBo18.oddBo22	32	74	1309
evenBo32.oddBo67	18	29	2389
evenBo22.oddBo63	28	33	1038
evenBo20.oddBo44	30	52	796
evenBo19.oddBo48	31	48	1006
evenBo25.oddBo51	25	45	1435
evenBo38.oddBo69	12	27	2342
evenBo43.oddBo26	7	70	599
evenBo42.oddBo61	8	35	1059
evenBo35.oddBo37	15	59	1646
evenBo34.oddBo67	16	29	2532
evenBo9.oddBo37	41	59	767
evenBo40.oddBo21	10	75	2100
evenBo5.oddBo52	45	44	287
evenBo47.oddBo22	3	74	1149
evenBo18.oddBo21	32	75	1759
evenBo48.oddBo69	2	27	1170
evenBo36.oddBo21	14	75	1129
evenBo38.oddBo45	12	51	737
evenBo45.oddBo18	5	78	1700
evenBo29.oddBo68	21	28	754
evenBo35.oddBo16	15	80	2611
evenBo16.oddBo57	34	39	1611
evenBo2.oddBo27	48	69	123
evenBo28.oddBo50	22	46	864
evenBo34.oddBo19	16	77	922
evenBo41.oddBo63	9	33	2487
evenBo46.oddBo70	4	26	1154
evenBo24.oddBo68	26	28	1399
evenBo22.oddBo35	28	61	634
evenBo13.oddBo64	37	32	382
evenBo24.oddBo36	26	60	851
evenBo26.oddBo69	24	27	1374
evenBo27.oddBo65	23	31	1406
evenBo30.oddBo57	20	39	1086
evenBo42.oddBo18	8	78	553
evenBo7.oddBo41	43	55	458
evenBo23.oddBo53	27	43	2138
evenBo28.oddBo57	22	39	1435
evenBo27.oddBo58	23	38	1341
evenBo28.oddBo41	22	55	640
evenBo6.oddBo64	44	32	177
evenBo16.oddBo22	34	74	814
evenBo35.oddBo61	15	35	1775
evenBo38.oddBo27	12	69	772
evenBo7.oddBo46	43	50	787
evenBo40.oddBo56	10	40	1303
evenBo19.oddBo35	31	61	701
evenBo40.oddBo65	10	31	1511
evenBo32.oddBo63	18	33	2082
evenBo46.oddBo24	4	72	1037
evenBo17.oddBo51	33	45	1208
evenBo18.oddBo62	32	34	721
evenBo4.oddBo46	46	50	541
evenBo22.oddBo24	28	72	719
evenBo18.oddBo30	32	66	805
evenBo48.oddBo27	2	69	638
evenBo7.oddBo53	43	43	350
evenBo19.oddBo57	31	39	2060
evenBo15.oddBo68	35	28	471
evenBo32.oddBo8	18	88	498
evenBo19.oddBo60	31	36	1410
evenBo32.oddBo65	18	31	1602
evenBo32.oddBo68	18	28	1352
evenBo19.oddBo14	31	82	339
evenBo30.oddBo37	20	59	1015
evenBo22.oddBo23	28	73	686
evenBo21.oddBo66	29	30	1014
evenBo49.oddBo25	1	71	771
evenBo22.oddBo54	28	42	1599
evenBo42.oddBo36	8	60	863
evenBo14.oddBo63	36	33	1196
evenBo50.oddBo65	0	31	591
evenBo30.oddBo70	20	26	843
evenBo31.oddBo51	19	45	1744
evenBo15.oddBo57	35	39	1907
evenBo17.oddBo39	33	57	587
evenBo41.oddBo31	9	65	867
evenBo26.oddBo31	24	65	715
evenBo29.oddBo58	21	38	1355
evenBo50.oddBo57	0	39	677
evenBo47.oddBo33	3	63	651
evenBo15.oddBo37	35	59	548
evenBo27.oddBo36	23	60	608
evenBo26.oddBo42	24	54	865
evenBo39.oddBo54	11	42	517
evenBo44.oddBo29	6	67	784
evenBo19.oddBo53	31	43	2061
evenBo38.oddBo37	12	59	1359
evenBo15.oddBo55	35	41	625
evenBo25.oddBo63	25	33	1507
evenBo19.oddBo49	31	47	935
evenBo33.oddBo1	17	95	391
evenBo41.oddBo36	9	60	764
evenBo35.oddBo23	15	73	1073
evenBo35.oddBo25	15	71	1050
evenBo32.oddBo49	18	47	712
evenBo28.oddBo53	22	43	2095
evenBo34.oddBo8	16	88	763
evenBo45.oddBo33	5	63	796
evenBo13.oddBo50	37	46	710
evenBo33.oddBo21	17	75	1382
evenBo43.oddBo61	7	35	547
evenBo31.oddBo32	19	64	515
evenBo7.oddBo49	43	47	525
evenBo41.oddBo37	9	59	1149
evenBo22.oddBo70	28	26	725
evenBo35.oddBo45	15	51	1226
evenBo28.oddBo54	22	42	2092
evenBo21.oddBo70	29	26	494
evenBo43.oddBo63	7	33	889
evenBo15.oddBo65	35	31	734
evenBo34.oddBo34	16	62	945
evenBo26.oddBo65	24	31	1692
evenBo16.oddBo53	34	43	1631
evenBo35.oddBo42	15	54	805
evenBo10.oddBo39	40	57	608
evenBo19.oddBo37	31	59	855
evenBo23.oddBo68	27	28	1079
evenBo21.oddBo31	29	65	565
evenBo29.oddBo29	21	67	1032
evenBo14.oddBo34	36	62	728
evenBo9.oddBo24	41	72	502
evenBo50.oddBo24	0	72	630
evenBo19.oddBo54	31	42	1627
evenBo25.oddBo30	25	66	741
evenBo16.oddBo51	34	45	901
