	legnum
evenBo29.oddBo58	43259
evenBo22.oddBo23	2853
evenBo20.oddBo24	48637
evenBo26.oddBo44	43276
evenBo44.oddBo75	12018
evenBo33.oddBo63	66235
evenBo38.oddBo67	12325
evenBo37.oddBo10	15347
evenBo33.oddBo46	52350
evenBo31.oddBo65	140731
evenBo24.oddBo47	32071
evenBo34.oddBo75	92677
evenBo16.oddBo37	108435
evenBo41.oddBo36	36316
evenBo48.oddBo76	24129
evenBo8.oddBo49	12830
evenBo7.oddBo67	72549
evenBo23.oddBo67	163483
evenBo34.oddBo51	157658
evenBo41.oddBo54	35190
evenBo38.oddBo34	50500
evenBo37.oddBo52	58983
evenBo30.oddBo70	146302
evenBo16.oddBo8	28247
evenBo37.oddBo72	69356
evenBo35.oddBo51	112605
evenBo37.oddBo12	23804
evenBo37.oddBo20	74363
evenBo36.oddBo73	79793
evenBo37.oddBo38	51313
evenBo22.oddBo59	16625
evenBo40.oddBo34	40990
evenBo36.oddBo9	7320
evenBo27.oddBo58	177329
evenBo17.oddBo77	11014
evenBo37.oddBo6	9304
evenBo37.oddBo79	6864
evenBo25.oddBo91	30170
evenBo12.oddBo67	58827
evenBo40.oddBo33	12981
evenBo38.oddBo84	62066
evenBo32.oddBo8	19164
evenBo29.oddBo72	94570
evenBo46.oddBo56	116117
evenBo22.oddBo49	65817
evenBo41.oddBo33	27618
evenBo14.oddBo70	38812
evenBo29.oddBo56	193129
evenBo41.oddBo85	22133
evenBo41.oddBo67	28346
evenBo37.oddBo58	98260
evenBo33.oddBo50	54601
evenBo49.oddBo88	23105
evenBo42.oddBo60	46072
evenBo37.oddBo34	55314
evenBo23.oddBo51	94979
evenBo32.oddBo65	148304
evenBo35.oddBo29	7788
evenBo34.oddBo11	26792
evenBo31.oddBo49	16038
evenBo41.oddBo65	13373
evenBo45.oddBo17	2029
evenBo37.oddBo77	55151
evenBo42.oddBo79	63212
evenBo40.oddBo57	61354
evenBo30.oddBo62	84001
evenBo50.oddBo63	82432
evenBo41.oddBo83	90285
