spot_id	x	y	clusternum
evenBo41.oddBo85	9	11	898
evenBo41.oddBo67	9	29	1318
evenBo37.oddBo58	13	38	2196
evenBo33.oddBo50	17	46	1140
evenBo49.oddBo88	1	8	490
evenBo42.oddBo60	8	36	872
evenBo37.oddBo34	13	62	1010
evenBo23.oddBo51	27	45	1245
evenBo32.oddBo65	18	31	1844
evenBo35.oddBo29	15	67	783
evenBo34.oddBo11	16	85	1047
evenBo31.oddBo49	19	47	798
evenBo41.oddBo65	9	31	858
evenBo45.oddBo17	5	79	193
evenBo37.oddBo77	13	19	1108
evenBo42.oddBo79	8	17	997
evenBo40.oddBo57	10	39	828
evenBo30.oddBo62	20	34	1917
evenBo50.oddBo63	0	33	1333
evenBo41.oddBo83	9	13	1114
evenBo27.oddBo71	23	25	913
evenBo19.oddBo13	31	83	806
evenBo2.oddBo82	48	14	132
evenBo35.oddBo74	15	22	1431
evenBo8.oddBo57	42	39	610
evenBo42.oddBo13	8	83	887
evenBo28.oddBo35	22	61	934
evenBo10.oddBo17	40	79	634
evenBo6.oddBo32	44	64	402
evenBo42.oddBo78	8	18	1258
evenBo21.oddBo51	29	45	843
evenBo10.oddBo43	40	53	420
evenBo40.oddBo81	10	15	1459
evenBo38.oddBo33	12	63	860
evenBo40.oddBo79	10	17	2517
evenBo19.oddBo71	31	25	503
evenBo45.oddBo47	5	49	518
evenBo8.oddBo33	42	63	347
evenBo7.oddBo62	43	34	720
evenBo41.oddBo71	9	25	1496
evenBo47.oddBo59	3	37	771
evenBo5.oddBo44	45	52	497
evenBo33.oddBo77	17	19	991
evenBo38.oddBo60	12	36	1421
evenBo47.oddBo16	3	80	719
evenBo14.oddBo45	36	51	519
evenBo25.oddBo39	25	57	741
evenBo32.oddBo5	18	91	511
evenBo32.oddBo47	18	49	902
evenBo18.oddBo76	32	20	958
evenBo33.oddBo64	17	32	1469
evenBo41.oddBo45	9	51	916
evenBo25.oddBo82	25	14	936
evenBo7.oddBo17	43	79	389
evenBo6.oddBo24	44	72	318
evenBo38.oddBo24	12	72	1143
evenBo4.oddBo27	46	69	337
evenBo18.oddBo71	32	25	889
evenBo12.oddBo45	38	51	499
evenBo7.oddBo46	43	50	334
evenBo20.oddBo57	30	39	758
evenBo34.oddBo59	16	37	3294
evenBo19.oddBo29	31	67	515
evenBo24.oddBo56	26	40	509
evenBo17.oddBo38	33	58	903
evenBo45.oddBo37	5	59	684
evenBo40.oddBo58	10	38	3302
evenBo45.oddBo82	5	14	926
evenBo12.oddBo64	38	32	439
evenBo27.oddBo38	23	58	799
evenBo20.oddBo49	30	47	854
evenBo28.oddBo47	22	49	703
evenBo27.oddBo29	23	67	556
evenBo9.oddBo64	41	32	1450
